PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
12.8,40.6,38.4,42.6,6.3,11.5,13.3,3.0,2.8,3.2,12.4
13.2,39.4,37.3,41.3,6.2,10.3,12.0,2.9,2.7,3.1,11.1
32.8,53.9,51.9,55.7,8.8,15.3,17.7,4.2,3.9,4.5,16.6
22.7,50.6,48.4,52.8,8.7,13.4,15.6,3.6,3.3,3.9,14.5
13.8,48.4,45.9,50.6,8.1,10.7,12.9,3.6,3.3,3.9,11.8
35.6,57.4,55.7,59.1,8.7,16.8,18.8,4.2,3.9,4.4,17.9
17.5,47.6,45.8,49.3,8.7,13.1,15.1,3.7,3.5,4.0,14.1
30.9,54.4,52.6,55.9,7.7,13.9,15.5,3.7,3.5,3.9,14.7
9.4,32.0,30.0,34.0,5.2,7.2,8.6,2.5,2.3,2.7,7.9
34.1,49.0,47.0,50.9,7.9,15.5,17.9,4.4,4.1,4.7,16.7
19.6,47.6,45.2,50.0,8.4,11.5,13.8,3.5,3.2,3.8,12.7
15.0,47.9,45.0,50.3,8.4,11.8,14.4,3.6,3.3,3.9,13.1
32.8,57.2,55.3,58.9,8.4,15.1,17.1,3.8,3.5,4.0,16.1
16.6,39.6,37.5,41.6,4.4,7.4,8.5,2.1,2.0,2.2,7.9
30.3,50.4,48.5,52.2,9.0,12.5,14.4,3.6,3.4,3.9,13.5
48.1,53.4,51.1,55.4,8.6,17.7,20.1,4.4,4.1,4.7,18.9
14.6,41.6,39.4,43.8,7.9,11.0,13.2,3.7,3.4,4.0,12.1
23.0,48.2,45.8,50.3,8.6,12.7,15.0,3.6,3.4,3.9,13.9
21.9,48.4,46.1,50.5,6.1,12.8,14.5,3.1,2.9,3.4,13.7
7.0,42.6,40.4,44.8,5.3,8.6,10.3,2.4,2.3,2.6,9.4
24.7,54.1,51.8,56.3,9.2,13.4,15.5,3.6,3.3,3.9,14.5
13.3,40.9,38.3,43.4,6.9,9.3,11.3,3.1,2.8,3.4,10.3
30.1,56.5,54.8,58.2,10.4,18.6,20.6,4.8,4.5,5.1,19.6
14.5,44.7,41.6,47.3,6.6,9.4,11.4,3.0,2.8,3.2,10.4
14.0,46.4,44.8,48.0,5.8,11.0,12.5,2.9,2.7,3.1,11.8
24.1,46.3,44.1,48.5,7.9,10.9,13.0,3.4,3.1,3.7,11.9
39.3,51.6,49.8,53.3,9.2,16.7,18.5,4.3,4.0,4.5,17.6
36.8,59.9,58.3,61.5,10.0,17.3,19.2,4.4,4.2,4.7,18.2
22.8,49.7,48.1,51.5,7.9,14.2,16.0,3.7,3.5,3.9,15.0
17.8,49.6,47.4,51.6,8.7,12.0,13.9,3.5,3.3,3.8,12.9
20.4,44.9,42.2,47.5,9.0,12.3,15.1,3.8,3.5,4.2,13.6
22.7,50.1,47.9,52.2,7.9,12.4,14.6,3.5,3.2,3.8,13.5
6.2,38.4,36.3,40.7,5.9,8.9,10.7,2.7,2.5,2.9,9.8
24.0,48.9,46.6,51.1,9.3,13.5,15.9,3.9,3.6,4.2,14.7
13.4,43.0,40.3,45.5,8.7,11.7,14.2,3.8,3.5,4.2,13.0
33.3,41.4,39.6,43.0,6.3,11.9,13.6,3.6,3.4,3.8,12.8
15.3,45.6,43.2,47.8,6.6,9.9,11.7,2.8,2.6,3.0,10.8
12.9,51.2,48.8,53.7,7.8,11.4,13.8,3.0,2.8,3.2,12.6
13.7,28.6,26.8,30.2,4.8,7.1,8.4,2.3,2.2,2.5,7.8
7.1,31.9,29.6,34.2,5.8,8.1,10.1,2.8,2.6,3.0,9.1
24.9,51.1,48.6,53.2,9.6,13.9,16.3,4.0,3.6,4.3,15.1
13.7,42.7,40.0,45.2,7.8,10.3,12.4,3.3,3.1,3.7,11.3
14.8,41.1,39.2,42.8,5.9,9.0,10.6,2.9,2.7,3.1,9.8
12.3,41.7,39.6,43.6,5.6,9.8,11.3,2.7,2.5,2.8,10.5
25.4,46.3,44.0,48.6,6.9,11.0,12.9,3.0,2.8,3.3,12.0
28.6,42.9,41.3,44.5,6.4,12.4,13.9,3.5,3.4,3.7,13.1
19.1,41.6,39.4,43.8,7.6,11.4,13.4,3.3,3.1,3.6,12.4
36.3,58.2,56.3,59.8,10.7,18.1,20.0,4.7,4.5,5.0,19.1
24.4,52.5,50.5,54.2,9.5,14.5,16.4,3.9,3.7,4.2,15.5
12.6,51.1,48.6,53.3,8.1,12.1,14.4,3.3,3.0,3.5,13.3
8.0,42.9,40.4,45.3,6.3,10.4,12.5,2.8,2.6,3.0,11.5
31.5,52.2,50.2,54.2,9.2,14.2,16.2,3.9,3.6,4.2,15.2
27.9,49.5,47.3,51.6,9.6,13.4,15.6,3.7,3.4,4.0,14.4
11.0,32.8,30.2,35.7,6.5,8.5,10.8,3.2,3.0,3.5,9.6
24.3,52.1,50.2,54.1,9.9,14.7,17.1,4.2,3.9,4.5,15.9
10.2,31.2,28.7,33.5,5.4,7.4,9.3,2.7,2.5,2.9,8.3
23.7,44.1,42.3,45.8,6.5,11.5,12.9,3.0,2.9,3.2,12.2
17.3,44.5,42.3,46.5,7.9,11.9,14.0,3.3,3.0,3.6,13.0
23.2,46.8,44.3,49.2,8.5,12.1,14.4,3.6,3.3,3.9,13.2
16.6,50.5,48.0,52.8,7.0,11.8,14.1,3.1,2.9,3.4,12.9
13.0,43.7,41.2,45.8,7.6,10.5,12.4,3.3,3.1,3.6,11.5
34.4,50.1,47.9,52.2,9.6,15.1,17.8,4.2,3.9,4.5,16.4
26.5,46.0,43.7,48.3,8.7,12.6,15.1,3.9,3.6,4.3,13.8
36.0,60.0,57.8,62.1,11.2,16.6,19.3,4.2,3.8,4.6,18.1
24.8,53.8,51.6,56.1,9.3,14.0,16.3,3.6,3.3,3.8,15.2
44.5,55.0,52.5,57.3,8.2,17.1,19.4,4.2,3.9,4.5,18.3
21.4,43.7,41.6,46.1,7.4,10.6,12.4,3.2,3.0,3.4,11.5
26.0,51.2,48.8,53.3,8.7,13.6,15.7,3.6,3.3,3.8,14.7
18.7,49.3,47.2,51.3,7.7,11.9,13.7,3.3,3.1,3.5,12.8
25.4,53.3,51.1,55.2,9.3,14.7,17.0,3.6,3.3,3.9,15.9
17.3,48.2,46.0,50.5,9.2,12.0,14.2,3.7,3.4,4.0,13.1
21.6,34.4,31.9,36.7,8.3,10.8,13.4,3.9,3.5,4.2,12.1
7.8,43.1,40.8,45.7,5.9,8.5,10.2,2.7,2.5,2.9,9.3
29.4,49.8,47.5,52.1,10.0,14.8,17.3,4.0,3.7,4.3,16.0
18.0,41.9,39.8,44.1,7.4,11.2,13.3,3.1,2.9,3.4,12.2
33.3,52.2,50.3,54.0,8.8,15.2,17.1,4.0,3.7,4.3,16.2
18.4,39.2,37.7,40.9,6.0,11.2,12.8,3.0,2.8,3.2,12.0
11.5,43.9,41.9,45.8,6.5,9.9,11.8,3.1,2.8,3.3,10.8
